review_score,product_category_name_english
4,sports_leisure
4,sports_leisure
5,computers_accessories
5,computers_accessories
5,garden_tools
5,sports_leisure
1,bed_bath_table
1,bed_bath_table
1,bed_bath_table
1,bed_bath_table
5,bed_bath_table
5,toys
5,home_confort
4,small_appliances
5,toys
5,garden_tools
5,garden_tools
5,garden_tools
5,garden_tools
5,garden_tools
4,health_beauty
4,health_beauty
3,pet_shop
3,pet_shop
5,computers_accessories
2,cool_stuff
5,electronics
3,baby
1,luggage_accessories
4,housewares
5,computers_accessories
5,computers_accessories
5,computers_accessories
5,health_beauty
5,watches_gifts
5,auto
5,telephony
4,health_beauty
5,electronics
5,watches_gifts
1,bed_bath_table
5,fashion_bags_accessories
5,baby
1,watches_gifts
5,perfumery
4,sports_leisure
5,bed_bath_table
5,bed_bath_table
5,bed_bath_table
5,pet_shop
5,computers_accessories
5,perfumery
1,bed_bath_table
1,bed_bath_table
1,bed_bath_table
2,watches_gifts
1,baby
5,perfumery
5,bed_bath_table
5,health_beauty
4,pet_shop
5,watches_gifts
5,health_beauty
5,health_beauty
5,housewares
5,furniture_decor
1,electronics
1,electronics
5,home_appliances_2
5,cool_stuff
5,auto
5,health_beauty
3,health_beauty
3,cool_stuff
4,electronics
5,watches_gifts
5,health_beauty
5,garden_tools
5,furniture_decor
5,furniture_decor
5,watches_gifts
5,garden_tools
4,housewares
5,perfumery
5,furniture_decor
5,health_beauty
5,health_beauty
1,auto
5,watches_gifts
3,food_drink
5,housewares
4,musical_instruments
3,garden_tools
3,garden_tools
5,watches_gifts
5,watches_gifts
3,health_beauty
1,furniture_decor
5,garden_tools
4,watches_gifts
5,stationery
5,housewares
5,housewares
5,musical_instruments
5,health_beauty
4,perfumery
5,health_beauty
5,health_beauty
5,baby
3,sports_leisure
3,sports_leisure
5,telephony
1,housewares
5,books_imported
1,health_beauty
1,health_beauty
5,sports_leisure
5,health_beauty
2,office_furniture
5,bed_bath_table
5,furniture_decor
5,bed_bath_table
3,electronics
5,baby
5,bed_bath_table
4,telephony
4,stationery
5,toys
3,office_furniture
5,sports_leisure
1,bed_bath_table
5,watches_gifts
5,computers_accessories
5,bed_bath_table
5,bed_bath_table
3,computers_accessories
5,auto
5,health_beauty
5,books_general_interest
5,sports_leisure
5,sports_leisure
1,cool_stuff
1,cool_stuff
1,baby
5,cool_stuff
5,toys
5,health_beauty
1,stationery
1,stationery
1,stationery
4,computers_accessories
4,health_beauty
4,health_beauty
4,health_beauty
4,health_beauty
4,health_beauty
1,health_beauty
4,small_appliances
